winery_slug,wine_label,wine_name,vintage_year,list_position
vina-sosolic,Rebula 2025,Rebula,2025,1
vina-sosolic,Virus7 2022,Virus7,2022,2
vina-sosolic,Virus3 rdeči cuvee 2022,Virus3 rdeči cuvee,2022,3
vina-sosolic,Sivi pinot 2024,Sivi pinot,2024,4
vina-zaletel,Malvazija 2025,Malvazija,2025,1
vina-zaletel,Sauvignon vert 2024,Sauvignon vert,2024,2
vina-zaletel,Merlot 2024,Merlot,2024,3
vina-zaletel,de Onesti 2020,de Onesti,2020,4
vina-zaletel,Rebula 2025,Rebula,2025,5
vinarstvo-muzic,Penina Mužič 2023,Penina Mužič,2023,1
vinarstvo-muzic,Rebula 2023,Rebula,2023,2
vinarstvo-muzic,Chardonnay,Chardonnay,,3
vinarstvo-muzic,Sivi pinot,Sivi pinot,,4
vinarstvo-muzic,Beli pinot,Beli pinot,,5
vinarstvo-muzic,Jakot,Jakot,,6
vinarstvo-muzic,Sauvignon 2023,Sauvignon,2023,7
vinarstvo-muzic,Merlot,Merlot,,8
vinarstvo-muzic,Refošk,Refošk,,9
vinarstvo-muzic,Cabernet Sauvignon,Cabernet Sauvignon,,10
zanut,Rebula 2021,Rebula,2021,1
zanut,Jama 2020,Jama,2020,2
zanut,Malvazija 2023,Malvazija,2023,3
zanut,Merlot brjač 2016,Merlot brjač,2016,4
zarova,Rebula 2025,Rebula,2025,1
zarova,Poza 2024,Poza,2024,2
zarova,Sauvignon Blanc Class 2023,Sauvignon Blanc Class,2023,3
zarova,Chardonnay Class 2023,Chardonnay Class,2023,4
zarova,Merlot class 2022,Merlot class,2022,5
zarova,Cabernet Franc Milimetri 2021,Cabernet Franc Milimetri,2021,6
